,estimates,se,posterior,t.statistic,pval,empirical.pval,empirical.fdr
ENSG00000001629.10:O005,-3.57847056296422,0.278651749776934,11.7948718842823,-12.8420889724498,2.73385684611563e-08,0.000184300666868284,0.0241621805727168
ENSG00000004864.14:O013,-2.91808761129037,0.288433471264558,11.7948718842823,-10.117021434776,3.65973256665294e-07,0.000571351151450724,0.0428861214573135
ENSG00000004897.12:O031,-2.46229699019225,0.128494601185111,11.7948718842823,-19.1626493835724,2.98969726359558e-10,2.63486221870892e-05,0.0134754382042542
ENSG00000005436.14:O020,-1.12349270934256,0.0736718574096535,11.7948718842823,-15.2499577022385,4.00946416741473e-09,8.03507667747825e-05,0.0179501348092008
ENSG00000005810.20:O001,2.26042916927587,0.141085931220157,11.7948718842823,16.0216482942484,2.29630990511782e-09,0.000529793353589318,0.041961508978977
ENSG00000005810.20:O028,-2.12241225441102,0.139237186277936,11.7948718842823,-15.2431423755892,4.02970734017884e-09,8.05254076931197e-05,0.0179501348092008
ENSG00000005889.16:O002,-1.49799943743841,0.152054609845801,11.7948718842823,-9.85171997716826,4.85505925107447e-07,0.000646802329441343,0.0445298526807694
ENSG00000006125.18:O003,-1.89195017283286,0.064931097006964,11.7948718842823,-29.1378131595396,2.35115859772266e-12,3.35029078249441e-06,0.00945968941231158
ENSG00000006576.17:O003,-2.09168111399718,0.187757608174431,11.7948718842823,-11.1403267986561,1.29822048181945e-07,0.000363048241269693,0.0332407341111381
ENSG00000009307.17:O014,-2.2127023811046,0.0632836861197208,11.7948718842823,-34.9648150538921,2.80155098438031e-13,1.36310965902471e-06,0.00945968941231158
ENSG00000009307.17:O020,1.59435372147212,0.102930182197108,11.7948718842823,15.4896618993541,3.36296103122178e-09,0.00061214547666724,0.0428861214573135
ENSG00000009335.19:O002,-2.10150610228794,0.152169634961172,11.7948718842823,-13.8102854937134,1.21901870448003e-08,0.000129882541152,0.0220203687109863
ENSG00000009954.11:O013,-2.71968043408417,0.203355197347318,11.7948718842823,-13.3740394617951,1.74289323655689e-08,0.000151623756145882,0.0230229832000494
ENSG00000010810.18:O014,-2.30638609264537,0.141791464249976,11.7948718842823,-16.2660432688617,1.93463106752433e-09,5.87085314820241e-05,0.0159297895147934
ENSG00000011295.16:O029,-0.785607007102871,0.0821105086838829,11.7948718842823,-9.5676792129906,6.61570810955617e-07,0.000741022530002273,0.0476775882459366
ENSG00000011405.14:O033,-3.29477800490442,0.170688027317127,11.7948718842823,-19.3029239173462,2.75003082097081e-10,2.54230838459077e-05,0.0133596841358417
ENSG00000012983.12:O019,-3.4936773733428,0.124945703857052,11.7948718842823,-27.961564627623,3.79806155243715e-12,4.10519371728443e-06,0.00945968941231158
ENSG00000012983.12:O022,2.93156736140614,0.186327029182213,11.7948718842823,15.7334519541945,2.81938777080374e-09,0.000572608673453302,0.0428861214573135
ENSG00000013306.16:O003,-1.52535950102386,0.124395180555016,11.7948718842823,-12.2622073798851,4.55147007593938e-08,0.000229970007187483,0.0269049877689931
