Geneid	Chr	Start	End	Strand	Length	...data.ly_2024.ribo.chx.SRR24230465Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230467Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230469Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230471Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230480Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.chx.SRR24230482Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230464Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230468Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230470Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230481Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230483Aligned.sortedByCoord.out.bam	...data.ly_2024.ribo.har.SRR24230485Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230462Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230466Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230472Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230474Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230477Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.chx.SRR24230479Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230463Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230473Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230475Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230476Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230478Aligned.sortedByCoord.out.bam	...data.ly_2024.rna.har.SRR24230484Aligned.sortedByCoord.out.bam
188942	ENSG00000184949.18	chr22	38581260	38581321	-	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134058	ENSG00000176194.18	chr18	12277431	12277475	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
124022	ENSG00000108587.16	chr17	30524416	30524472	+	57	0	0	0	0	0	0	0	0	3	2	1	3	6	8	1	15	2	15	3	5	3	4	7	7
160997	ENSG00000188886.4	chr2	96122875	96122964	-	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
226318	ENSG00000112902.12	chr5	9038393	9038425	-	33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
124507	ENSG00000181291.8	chr17	34579914	34579997	+	84	0	0	1	1	0	0	0	0	3	2	0	1	0	0	4	1	0	0	0	0	0	0	0	5
193627	ENSG00000163673.8	chr3	36764485	36764535	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45404	ENSG00000183251.4	chr11	5301014	5301946	-	933	2	0	0	1	0	0	1	1	0	0	3	4	2	0	0	2	0	1	0	0	0	0	0	1
65161	ENSG00000087448.11	chr12	27800528	27800539	+	12	0	0	1	0	0	0	0	0	2	1	0	1	1	1	5	2	0	5	3	0	3	4	1	1
308579	ENSG00000198021.8	chrX	141583738	141584678	-	941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59134	ENSG00000172273.13	chr11	119124231	119124236	+	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183204	ENSG00000156239.12	chr21	28874075	28874240	-	166	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	0	0
145255	ENSG00000198521.12	chr19	21807287	21807467	-	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
277324	ENSG00000157168.22	chr8	32767459	32767464	+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
89709	ENSG00000125384.8	chr14	52327625	52327630	+	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
30538	ENSG00000277462.2	chr1	247078626	247078739	-	114	31	30	22	23	19	10	24	38	69	48	37	24	0	1	4	0	1	5	1	0	0	1	0	2
225589	ENSG00000109794.14	chr4	186174389	186174409	+	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144608	ENSG00000167491.18	chr19	19508575	19508598	+	24	0	0	0	0	0	0	0	0	1	0	0	1	2	3	0	0	1	1	1	2	2	1	2	0
90077	ENSG00000197045.14	chr14	54475437	54475503	-	67	0	1	0	0	0	1	0	1	1	2	0	7	4	12	1	3	10	26	4	6	7	3	5	11
268360	ENSG00000214300.8	chr7	100321419	100321433	+	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
214591	ENSG00000109184.15	chr4	51916017	51916131	+	115	0	0	0	0	0	1	0	0	0	2	1	2	6	8	1	4	3	13	3	3	3	6	6	7
291538	ENSG00000188312.15	chr9	92619543	92619641	+	99	4	6	4	2	34	14	6	1	8	11	4	3	0	1	1	2	3	2	1	1	4	0	4	3
53241	ENSG00000110721.12	chr11	68053526	68053567	-	42	0	0	0	1	0	2	0	1	0	1	3	2	1	9	4	1	8	2	7	6	6	13	5	6
159897	ENSG00000159399.10	chr2	74891003	74891110	+	108	1	1	0	0	1	2	0	3	2	6	0	4	6	6	9	8	15	23	8	15	13	7	26	14
236767	ENSG00000228672.4	chr5	139392034	139395081	-	3048	8	2	2	1	0	0	1	3	8	7	8	0	4	6	5	2	2	7	4	4	6	2	3	5
182728	ENSG00000166351.11	chr21	13642848	13643204	+	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43042	ENSG00000119979.18	chr10	119137865	119137961	+	97	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	1
208909	ENSG00000181092.10	chr3	186854874	186854920	+	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268278	ENSG00000106261.17	chr7	100038457	100038474	+	18	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	6	0	6	2	1	3	6	2	4
21812	ENSG00000183831.7	chr1	173608677	173609053	-	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39895	ENSG00000197430.11	chr10	96345941	96358896	-	12956	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	1	0	0	1
140712	ENSG00000173976.16	chr19	3770100	3770105	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
258719	ENSG00000130368.7	chr6	159910304	159910312	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9326	ENSG00000162433.15	chr1	65226984	65226992	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157582	ENSG00000138039.15	chr2	48687153	48687170	-	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
283104	ENSG00000048392.13	chr8	102204994	102205062	-	69	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	5	2	3	3	3	0	2
71503	ENSG00000166225.9	chr12	69578559	69578579	+	21	0	0	0	0	0	1	0	0	1	2	0	1	2	3	3	2	2	0	1	2	2	2	2	2
307365	ENSG00000056277.16	chrX	130203923	130204122	-	200	0	0	0	0	1	0	0	0	0	0	0	2	7	6	3	3	4	12	5	1	12	11	5	3
113842	ENSG00000102870.6	chr16	30779853	30779992	-	140	0	0	1	0	0	0	0	0	3	1	0	4	4	6	6	11	5	20	4	5	4	9	3	5
108780	ENSG00000185518.12	chr15	91301597	91301674	+	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
117066	ENSG00000198373.13	chr16	69941357	69941428	+	72	0	0	0	0	0	1	0	0	1	3	0	0	2	0	1	3	4	8	1	2	1	0	6	3
223444	ENSG00000121207.12	chr4	154751263	154751408	+	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
163678	ENSG00000088179.9	chr2	119984138	119984146	+	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25559	ENSG00000143842.15	chr1	204127501	204127640	+	140	0	0	0	0	0	3	1	0	0	0	1	3	1	2	4	2	2	11	2	0	2	0	4	1
145287	ENSG00000196109.9	chr19	22179263	22179268	-	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
276431	ENSG00000042980.14	chr8	24357190	24357243	+	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
82949	ENSG00000102531.16	chr13	49209031	49209217	+	187	0	0	2	0	0	4	0	0	3	5	2	11	14	15	11	22	17	27	15	16	13	24	20	21
302647	ENSG00000196338.15	chrX	71174864	71174962	+	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165796	ENSG00000177917.12	chr2	152759878	152759892	+	15	0	0	0	0	1	0	0	3	0	10	0	9	3	3	1	2	9	5	2	4	6	2	9	3
234734	ENSG00000151304.6	chr5	121962033	122027126	+	65094	313	177	117	153	613	633	131	175	236	581	193	325	219	373	105	193	62	172	243	144	240	161	102	111
217085	ENSG00000138759.20	chr4	78057655	78057681	+	27	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
148441	ENSG00000105771.14	chr19	43729735	43729803	-	69	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0
102537	ENSG00000069966.19	chr15	52118067	52118165	-	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171704	ENSG00000144426.19	chr2	203222353	203222398	+	46	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	3	3	0	1	0
227183	ENSG00000113387.13	chr5	32604455	32604499	+	45	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
37544	ENSG00000156113.25	chr10	76877639	76877665	-	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
230361	ENSG00000205571.15	chr5	70077418	70077429	+	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306340	ENSG00000077721.17	chrX	119590739	119590804	+	66	40	27	8	5	42	33	14	9	30	56	11	29	2	7	3	7	4	16	6	4	9	5	6	10
242540	ENSG00000137265.16	chr6	409120	409215	+	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
